,source,target
0,0,5111
1,0,12716
2,0,12963
3,0,13709
4,0,15763
5,5111,89
6,5111,223
7,5111,268
8,5111,299
9,5111,462
10,5111,488
11,5111,1218
12,5111,1226
13,5111,1489
14,5111,1791
15,5111,2022
16,5111,2225
17,5111,2289
18,5111,2664
19,5111,2835
20,5111,2959
21,5111,3152
22,5111,3226
23,5111,3362
24,5111,3542
25,5111,3543
26,5111,3619
27,5111,3717
28,5111,3738
29,5111,3816
30,5111,3871
31,5111,3995
32,5111,4109
33,5111,4136
34,5111,4222
35,5111,4283
36,5111,4311
37,5111,4469
38,5111,4803
39,5111,4985
40,5111,5022
41,5111,5132
42,5111,5201
43,5111,5213
44,5111,5266
45,5111,5722
46,5111,5970
47,5111,6073
48,5111,6256
49,5111,6380
50,5111,6852
51,5111,7162
52,5111,7297
53,5111,7338
54,5111,7346
55,5111,7455
56,5111,7489
57,5111,7568
58,5111,7617
59,5111,7679
60,5111,8037
61,5111,8241
62,5111,8406
63,5111,8602
64,5111,8942
65,5111,9270
66,5111,9456
67,5111,9617
68,5111,10216
69,5111,10274
70,5111,10617
71,5111,10751
72,5111,11388
73,5111,11760
74,5111,12403
75,5111,12502
76,5111,12641
77,5111,12963
78,5111,13025
79,5111,13208
80,5111,14214
81,5111,15763
82,5111,15830
83,5111,15965
84,5111,16159
85,5111,16246
86,5111,16497
87,5111,16553
88,5111,17105
89,5111,17378
90,5111,17898
91,5111,18006
92,12716,82
93,12716,507
94,12716,15763
95,12963,2517
96,12963,6579
97,12963,7009
98,12963,15763
99,13709,1995
100,13709,6527
101,13709,8897
102,13709,10770
103,13709,11865
104,13709,14693
105,13709,15763
106,13709,17811
107,15763,2517
108,15763,4956
109,15763,6073
110,15763,10117
111,15763,14820
112,15763,15243
113,1,1658
114,1,13273
115,1,14992
116,1,16269
117,1658,13273
118,1658,14992
119,1658,16269
120,13273,136
121,13273,891
122,13273,2221
123,13273,2875
124,13273,2922
125,13273,2932
126,13273,3399
127,13273,3453
128,13273,4434
129,13273,4699
130,13273,5392
131,13273,5499
132,13273,6116
133,13273,6398
134,13273,6872
135,13273,6977
136,13273,7059
137,13273,7330
138,13273,7549
139,13273,8289
140,13273,8467
141,13273,8683
142,13273,9030
143,13273,9087
144,13273,9161
145,13273,9167
146,13273,9474
147,13273,9903
148,13273,10092
149,13273,10653
150,13273,10665
151,13273,10691
152,13273,11170
153,13273,11558
154,13273,11804
155,13273,11900
156,13273,12537
157,13273,12919
158,13273,13286
159,13273,13310
160,13273,13757
161,13273,13766
162,13273,13864
163,13273,13866
164,13273,14150
165,13273,14332
166,13273,14712
167,13273,14992
168,13273,15118
169,13273,15156
170,13273,15247
171,13273,15458
172,13273,15459
173,13273,15570
174,13273,15971
175,13273,16139
176,13273,16552
177,13273,16812
178,13273,16831
179,13273,16853
180,13273,17085
181,13273,17125
182,13273,17338
183,13273,17510
184,13273,18191
185,14992,126
186,14992,3618
187,14992,10563
188,14992,13043
189,14992,15258
190,14992,16022
191,16269,603
192,16269,8743
193,16269,10843
194,16269,11542
195,16269,12032
196,16269,12161
197,16269,12277
198,16269,12468
199,16269,17695
200,16269,17917
201,2,2550
202,2,6180
203,2,6633
204,2,7111
205,2,11865
206,2,14301
207,2,14791
208,2550,65
209,2550,416
210,2550,1124
211,2550,1350
212,2550,1538
213,2550,2098
214,2550,2526
215,2550,2915
216,2550,2922
217,2550,2955
218,2550,2974
219,2550,3198
220,2550,3471
221,2550,4446
222,2550,4856
223,2550,5035
224,2550,5123
225,2550,5342
226,2550,5373
227,2550,6053
228,2550,6204
229,2550,6991
230,2550,7316
231,2550,7498
232,2550,7743
233,2550,7769
234,2550,8106
235,2550,8151
236,2550,8257
237,2550,8330
238,2550,8428
239,2550,9048
240,2550,9299
241,2550,9488
242,2550,9645
243,2550,10164
244,2550,10941
245,2550,11255
246,2550,11371
247,2550,11559
248,2550,11593
249,2550,11928
250,2550,12061
251,2550,12091
252,2550,12256
253,2550,12544
254,2550,12681
255,2550,12950
256,2550,13070
257,2550,13095
258,2550,13122
259,2550,13167
260,2550,13199
261,2550,13432
262,2550,13750
263,2550,13788
264,2550,13967
265,2550,14025
266,2550,14117
267,2550,14211
268,2550,14866
269,2550,14907
270,2550,15405
271,2550,15819
272,2550,16064
273,2550,16193
274,2550,17244
275,2550,17602
276,2550,17737
277,2550,18023
278,2550,18070
279,6180,6633
280,6180,14301
281,6180,14783
282,6180,14791
283,6180,15869
284,6633,1747
285,6633,4776
286,6633,8963
287,6633,10405
288,6633,11217
289,6633,14301
290,6633,14791
291,6633,15869
292,7111,345
293,7111,374
294,7111,416
295,7111,1620
296,7111,2128
297,7111,2199
298,7111,2837
299,7111,3028
300,7111,3678
301,7111,4715
302,7111,6406
303,7111,6706
304,7111,6926
305,7111,7543
306,7111,7679
307,7111,8828
308,7111,8975
309,7111,11925
310,7111,12955
311,7111,13747
312,7111,14064
313,7111,14372
314,7111,14677
315,7111,14925
316,7111,15080
317,7111,15110
318,7111,15991
319,7111,16789
320,7111,17878
321,11865,1535
322,11865,1762
323,11865,5618
324,11865,8609
325,11865,8977
326,11865,11547
327,11865,13474
328,11865,13592
329,11865,13858
330,11865,14677
331,11865,15791
332,14301,8837
333,14301,10293
334,14301,14791
335,14301,15869
336,14791,15869
337,3,237
338,3,1863
339,3,5850
340,3,6442
341,3,11016
342,3,15431
343,237,150
344,237,1085
345,237,2161
346,237,2223
347,237,2276
348,237,2520
349,237,2891
350,237,3073
351,237,3161
352,237,3388
353,237,3520
354,237,3843
355,237,3942
356,237,3948
357,237,4234
358,237,5169
359,237,5264
360,237,5763
361,237,5765
362,237,8136
363,237,8849
364,237,8948
365,237,9535
366,237,10185
367,237,10301
368,237,10692
369,237,11770
370,237,11969
371,237,12629
372,237,14177
373,237,15215
374,237,15431
375,237,17242
376,237,17363
377,237,17549
378,1863,1547
379,1863,7206
380,1863,7777
381,1863,14591
382,5850,150
383,5850,213
384,5850,1231
385,5850,1536
386,5850,2126
387,5850,3638
388,5850,4569
389,5850,6775
390,5850,7206
391,5850,7921
392,5850,8310
393,5850,8887
394,5850,10108
395,5850,11471
396,5850,12572
397,5850,12739
398,5850,12966
399,5850,14591
400,5850,15328
401,5850,16400
402,5850,16488
403,6442,1530
404,6442,1553
405,6442,1600
406,6442,1850
407,6442,2161
408,6442,2391
409,6442,4027
410,6442,4654
411,6442,5646
412,6442,5652
413,6442,6822
414,6442,7110
415,6442,7940
416,6442,8919
417,6442,10060
418,6442,10942
419,6442,11016
420,6442,11369
421,6442,12629
422,6442,12926
423,6442,15784
424,6442,16728
425,6442,16837
426,11016,1850
427,11016,2520
428,11016,12926
429,15431,320
430,15431,3942
431,15431,3948
432,15431,3977
433,15431,5765
434,15431,7239
435,15431,7990
436,15431,8333
437,15431,9157
438,15431,11165
439,15431,11969
440,15431,12954
441,15431,14353
442,15431,15048
443,15431,16531
444,15431,17967
445,4,300
446,4,8360
447,300,12659
448,300,16358
449,8360,506
450,8360,928
451,8360,2636
452,8360,3382
453,8360,16046
454,5,3681
455,5,3857
456,5,15030
457,5,15696
458,3681,895
459,3681,966
460,3681,2794
461,3681,15350
462,3681,15696
463,3681,18248
464,3857,541
465,3857,4286
466,3857,4605
467,3857,4710
468,3857,4711
469,3857,10385
470,3857,12068
471,3857,14740
472,15030,1240
473,15030,2342
474,15030,12054
475,15030,18143
476,15696,906
477,15696,16114
478,15696,17359
479,15696,17534
480,15696,18248
481,6,6359
482,6,9462
483,6359,1634
484,6359,1913
485,6359,2592
486,6359,3366
487,6359,11981
488,6359,12604
489,6359,13767
490,9462,541
491,9462,2512
492,9462,2576
493,9462,4711
494,9462,10385
495,7,3478
496,7,6690
497,7,14359
498,7,17320
499,3478,12401
500,3478,14359
501,6690,1602
502,6690,5701
503,6690,6839
504,6690,9025
505,6690,9945
506,6690,13703
507,6690,17320
508,6690,17740
509,14359,1602
510,14359,12401
511,17320,15423
512,8,634
513,8,2347
514,8,5497
515,8,6451
516,8,10186
517,8,12747
518,8,14433
519,8,17542
520,634,742
521,634,852
522,634,1943
523,634,2281
524,634,3071
525,634,5497
526,634,7833
527,634,10186
528,634,11871
529,634,15054
530,634,16382
531,634,17542
532,634,18097
533,2347,1427
534,2347,1481
535,2347,2511
536,2347,2658
537,2347,3389
538,2347,4185
539,2347,4957
540,2347,5380
541,2347,6283
