,source,target
0,0,747
1,747,4704
2,747,3683
3,747,5892
4,747,2020
5,747,5610
6,747,6363
7,747,3855
8,1,4257
9,1,2194
10,1,580
11,1,6478
12,1,1222
13,1,5735
14,1,7146
15,1,2204
16,1,126
17,1,2639
18,4257,180
19,4257,217
20,4257,295
21,4257,409
22,4257,445
23,4257,510
24,4257,1000
25,4257,1698
26,4257,1788
27,4257,1856
28,4257,2196
29,4257,3020
30,4257,3066
31,4257,3501
32,4257,4152
33,4257,4864
34,4257,6919
35,4257,4811
36,4257,4821
37,4257,5595
38,4257,6431
39,4257,6562
40,4257,5286
41,4257,6248
42,4257,6996
43,4257,6399
44,2194,78
45,2194,758
46,2194,1216
47,2194,1304
48,2194,1328
49,2194,1444
50,2194,1599
51,2194,1701
52,2194,1725
53,2194,3520
54,2194,3853
55,2194,2707
56,2194,2197
57,2194,4632
58,2194,4955
59,2194,2204
60,2194,3938
61,2194,3495
62,2194,7464
63,2194,3605
64,2194,3633
65,2194,4925
66,6478,1352
67,6478,2196
68,6478,2705
69,6478,3022
70,6478,3039
71,6478,3055
72,6478,3317
73,6478,3509
74,6478,3701
75,6478,3948
76,6478,4083
77,6478,4535
78,6478,4811
79,6478,5094
80,6478,5167
81,6478,5370
82,6478,5461
83,6478,5835
84,6478,6248
85,6478,6919
86,6478,6529
87,1222,111
88,1222,2498
89,1222,5158
90,1222,6241
91,1222,6668
92,1222,2475
93,1222,4364
94,1222,1870
95,1222,2001
96,1222,1621
97,1222,7351
98,1222,4922
99,1222,4730
100,1222,4863
101,5735,642
102,5735,882
103,5735,1132
104,5735,2914
105,5735,5353
106,5735,5625
107,5735,6562
108,7146,2460
109,7146,3073
110,7146,3379
111,2204,858
112,2204,953
113,2204,1281
114,2204,1304
115,2204,1444
116,2204,1663
117,2204,1701
118,2204,1711
119,2204,1725
120,2204,1999
121,2204,2197
122,2204,5526
123,2204,4554
124,2204,2892
125,2204,3853
126,2204,5453
127,2204,3990
128,2204,5212
129,2204,5342
130,2204,4961
131,2204,3503
132,2204,5168
133,2204,4309
134,126,6562
135,126,5718
136,126,6577
137,126,700
138,126,3119
139,2639,2353
140,2639,3888
141,2639,5975
142,2639,4081
143,2639,5702
144,2639,3271
145,2639,6617
146,2639,3739
147,2639,5949
148,2639,6431
149,2,562
150,2,1492
151,2,6
152,2,5303
153,2,7128
154,2,4154
155,2,5179
156,562,251
157,562,601
158,562,5058
159,562,1391
