,node,eign,closeness,betwness,centrality,community,density
11,11,2.1031233303459666e-07,0,0,1,0,0.04869760220803864
12,12,2.1031233303459666e-07,0,0,1,0,0.04869760220803864
15,15,2.1031233303459666e-07,0,0,1,0,0.04869760220803864
18,18,2.1031233303459666e-07,0,0,1,0,0.04869760220803864
37,37,2.1031233303459666e-07,0,0,1,0,0.04869760220803864
43,43,2.1031233303459666e-07,0,0,1,0,0.04869760220803864
74,74,2.1031233303459666e-07,0,0,1,0,0.04869760220803864
114,114,2.1031233303459666e-07,0,0,1,0,0.04869760220803864
209,209,2.1031233303459666e-07,0,0,1,0,0.04869760220803864
210,210,2.1031233303459666e-07,0,0,1,0,0.04869760220803864
215,215,2.1031233303459666e-07,0,0,1,0,0.04869760220803864
287,287,2.1031233303459666e-07,0,0,1,0,0.04869760220803864
292,292,2.1031233303459666e-07,0,0,1,0,0.04869760220803864
335,335,2.1031233303459666e-07,0,0,1,0,0.04869760220803864
33,33,2.1162712130634827e-07,0,0,2,0,0.04869760220803864
35,35,2.1171402853040497e-07,0,0,2,0,0.04869760220803864
42,42,2.1162712130634827e-07,0,0,2,0,0.04869760220803864
47,47,2.1257645405396597e-07,0,0,2,0,0.04869760220803864
52,52,2.1165285159495728e-07,0,0,2,0,0.04869760220803864
70,70,2.1168797016997866e-07,0,0,2,0,0.04869760220803864
90,90,2.1163531066753916e-07,0,0,2,0,0.04869760220803864
138,138,2.117508593464441e-07,0,0,2,0,0.04869760220803864
145,145,2.1163531066753916e-07,0,0,2,0,0.04869760220803864
153,153,2.2060595804479308e-07,0,0,2,0,0.04869760220803864
154,154,2.1166094245479166e-07,0,0,2,0,0.04869760220803864
160,160,2.1374245591388144e-07,0,0,2,0,0.04869760220803864
183,183,2.144548122164338e-07,0,0,2,0,0.04869760220803864
205,205,2.1165285159495728e-07,0,0,2,0,0.04869760220803864
216,216,2.1168083905373196e-07,0,0,2,0,0.04869760220803864
233,233,2.1162712130634827e-07,0,0,2,0,0.04869760220803864
234,234,2.2317063723832e-07,0,0,2,0,0.04869760220803864
241,241,2.1164366083017275e-07,0,0,2,0,0.04869760220803864
244,244,2.1162712130634827e-07,0,0,2,0,0.04869760220803864
255,255,2.1164366083017275e-07,0,0,2,0,0.04869760220803864
