,node,eign,closeness,betwness,centrality,community,density
13684,6216,1.3408865075296543e-09,0,0,1,0,0.11784511784511785
21480,17789,5.4990988919240966e-08,0,0,1,0,0.11784511784511785
21610,12363,7.67784744987449e-08,0,0,1,0,0.11784511784511785
21886,17256,7.67784744987449e-08,0,0,1,0,0.11784511784511785
21888,1320,7.67784744987449e-08,0,0,1,0,0.11784511784511785
13679,19784,2.8219694598965983e-09,0,0,2,0,0.11784511784511785
13680,21358,1.4908728658808552e-09,0,0,2,0,0.11784511784511785
13682,4272,8.79318339893808e-08,0,0,2,0,0.11784511784511785
15865,3425,7.0958035519134435e-06,0,0,2,0,0.11784511784511785
17840,4952,1.4721809289095103e-07,0,0,2,0,0.11784511784511785
20063,17946,1.5550528979484416e-08,0,0,2,0,0.11784511784511785
20511,17146,1.557433800507972e-08,0,0,2,0,0.11784511784511785
21887,13810,1.4721809289095103e-07,0,0,2,0,0.11784511784511785
21890,15847,8.435157043070208e-08,0,0,2,0,0.11784511784511785
21891,17351,8.515940726195706e-08,0,0,2,0,0.11784511784511785
13681,2490,1.5559133830163042e-08,0,0,3,0,0.11784511784511785
19025,6336,1.1335962512787067e-07,0,0,3,0,0.11784511784511785
19374,11854,5.774352826131404e-06,0,0,3,0,0.11784511784511785
19906,19831,4.6208499886450426e-07,0,0,3,0,0.11784511784511785
20061,7960,1.4128113151697907e-07,0,0,3,0,0.11784511784511785
20846,19185,8.541295371564861e-08,0,0,3,0,0.11784511784511785
21049,7116,1.3133535269921128e-07,0,0,3,0,0.11784511784511785
21889,19126,1.2825981252595867e-07,0,0,3,0,0.11784511784511785
19059,12105,1.5728555777507242e-07,0,0,4,0,0.11784511784511785
19062,9410,1.166618309112899e-07,0,0,4,0,0.11784511784511785
20062,14137,1.5522760860829703e-07,0,0,4,0,0.11784511784511785
20845,9722,1.0917121722611771e-07,0,0,4,0,0.11784511784511785
10029,1208,1.6218956879246864e-07,0,0,5,0,0.11784511784511785
13683,14238,1.4658468736500546e-05,0,0,5,0,0.11784511784511785
17284,12296,5.582032460328388e-05,0,0,5,0,0.11784511784511785
19060,15795,1.4202856795981194e-07,0,0,5,0,0.11784511784511785
19061,10078,1.1770015547612367e-07,0,0,5,0,0.11784511784511785
20439,8610,1.4487619703877514e-07,0,0,5,0,0.11784511784511785
12635,18978,7.809425098857836e-07,0,0,6,0,0.11784511784511785
13678,2300,1.4069225272989423e-07,0,0,6,0,0.11784511784511785
14173,8809,1.4786966247545822e-06,0,0,6,0,0.11784511784511785
17303,8756,1.0344590018994782e-05,0,0,6,0,0.11784511784511785
21048,10369,7.28714194723505e-07,0,0,6,0,0.11784511784511785
15874,20925,3.359285424734144e-07,0,0,7,0,0.11784511784511785
15875,14515,2.2919648180873946e-06,0,0,7,0,0.11784511784511785
15877,5386,8.522546897306622e-07,0,0,10,0,0.11784511784511785
15878,4416,6.0626201109805565e-05,0,0,10,0,0.11784511784511785
10033,9723,2.816659739212982e-06,0,0,12,0,0.11784511784511785
15866,9775,2.4790463580337133e-06,0,0,12,0,0.11784511784511785
10030,10325,2.81864280131786e-06,0,0,13,0,0.11784511784511785
15873,2524,2.868087157606696e-06,0,0,13,0,0.11784511784511785
19026,14960,7.843521393772213e-07,0,0,13,0,0.11784511784511785
19058,6369,2.571181990624251e-07,0,0,13,0,0.11784511784511785
10032,21748,8.671118741541923e-07,0,0,16,0,0.11784511784511785
10034,16720,2.3234152547732294e-06,0,0,17,0,0.11784511784511785
12866,11680,6.109002713167536e-05,0,0,18,0,0.11784511784511785
